Date,Price,Open,High,Low,Change %
2006-04-01,,,,,
2006-04-02,,,,,
2006-04-03,6.874,6.874,6.874,6.874,0.38%
2006-04-04,6.856,6.856,6.856,6.856,-0.26%
2006-04-05,6.762,6.762,6.762,6.762,-1.37%
2006-04-06,6.762,6.762,6.762,6.762,-1.37%
2006-04-07,6.77,6.77,6.77,6.77,0.12%
2006-04-08,6.77,6.77,6.77,6.77,0.12%
2006-04-09,6.77,6.77,6.77,6.77,0.12%
2006-04-10,6.717,6.717,6.717,6.717,-0.78%
2006-04-11,6.717,6.717,6.717,6.717,-0.78%
2006-04-12,6.687,6.687,6.687,6.687,-0.45%
2006-04-13,6.736,6.736,6.736,6.736,0.73%
2006-04-14,6.736,6.736,6.736,6.736,0.73%
2006-04-15,6.736,6.736,6.736,6.736,0.73%
2006-04-16,6.736,6.736,6.736,6.736,0.73%
2006-04-17,6.781,6.781,6.781,6.781,0.67%
2006-04-18,6.667,6.667,6.667,6.667,-1.68%
2006-04-19,6.63,6.63,6.63,6.63,-0.55%
2006-04-20,6.648,6.648,6.648,6.648,0.27%
2006-04-21,6.66,6.66,6.66,6.66,0.18%
2006-04-22,6.66,6.66,6.66,6.66,0.18%
2006-04-23,6.66,6.66,6.66,6.66,0.18%
2006-04-24,6.667,6.667,6.667,6.667,0.11%
2006-04-25,6.659,6.659,6.659,6.659,-0.12%
2006-04-26,6.705,6.705,6.705,6.705,0.69%
2006-04-27,6.705,6.705,6.705,6.705,0.00%
2006-04-28,6.724,6.724,6.724,6.724,0.28%
2006-04-29,6.724,6.724,6.724,6.724,0.28%
2006-04-30,6.724,6.724,6.724,6.724,0.28%
2006-05-01,6.724,6.724,6.724,6.724,0.28%
2006-05-02,6.743,6.743,6.743,6.743,0.28%
2006-05-03,6.781,6.781,6.781,6.781,0.56%
2006-05-04,6.77,6.77,6.77,6.77,-0.16%
2006-05-05,6.743,6.743,6.743,6.743,-0.40%
2006-05-06,6.743,6.743,6.743,6.743,-0.40%
2006-05-07,6.743,6.743,6.743,6.743,-0.40%
2006-05-08,6.793,6.793,6.793,6.793,0.74%
2006-05-09,6.743,6.743,6.743,6.743,-0.74%
2006-05-10,6.743,6.743,6.743,6.743,0.00%
2006-05-11,6.762,6.762,6.762,6.762,0.28%
2006-05-12,6.801,6.801,6.801,6.801,0.58%
2006-05-13,6.801,6.801,6.801,6.801,0.58%
2006-05-14,6.801,6.801,6.801,6.801,0.58%
2006-05-15,6.782,6.782,6.782,6.782,-0.28%
2006-05-16,6.782,6.782,6.782,6.782,0.00%
2006-05-17,6.79,6.79,6.79,6.79,0.12%
2006-05-18,6.809,6.809,6.809,6.809,0.28%
2006-05-19,6.821,6.821,6.821,6.821,0.18%
2006-05-20,6.821,6.821,6.821,6.821,0.18%
2006-05-21,6.821,6.821,6.821,6.821,0.18%
2006-05-22,6.841,6.841,6.841,6.841,0.29%
2006-05-23,6.821,6.821,6.821,6.821,-0.29%
2006-05-24,6.821,6.821,6.821,6.821,0.00%
2006-05-25,6.833,6.833,6.833,6.833,0.18%
2006-05-26,6.825,6.825,6.825,6.825,-0.12%
2006-05-27,6.825,6.825,6.825,6.825,-0.12%
2006-05-28,6.825,6.825,6.825,6.825,-0.12%
2006-05-29,6.849,6.849,6.849,6.849,0.35%
2006-05-30,6.853,6.853,6.853,6.853,0.06%
2006-05-31,6.854,6.854,6.854,6.854,0.01%
2006-06-01,6.901,6.901,6.901,6.901,0.69%
2006-06-02,6.889,6.889,6.889,6.889,-0.17%
2006-06-03,6.889,6.889,6.889,6.889,-0.17%
2006-06-04,6.889,6.889,6.889,6.889,-0.17%
2006-06-05,6.921,6.921,6.921,6.921,0.46%
2006-06-06,6.922,6.922,6.922,6.922,0.01%
2006-06-07,6.902,6.902,6.902,6.902,-0.29%
2006-06-08,6.882,6.882,6.882,6.882,-0.29%
2006-06-09,6.982,6.982,6.982,6.982,1.45%
2006-06-10,6.982,6.982,6.982,6.982,1.45%
2006-06-11,6.982,6.982,6.982,6.982,1.45%
2006-06-12,6.983,6.983,6.983,6.983,0.01%
2006-06-13,7.055,7.055,7.055,7.055,1.03%
2006-06-14,7.023,7.023,7.023,7.023,-0.45%
2006-06-15,7.104,7.104,7.104,7.104,1.15%
2006-06-16,7.124,7.124,7.124,7.124,0.28%
2006-06-17,7.124,7.124,7.124,7.124,0.28%
2006-06-18,7.124,7.124,7.124,7.124,0.28%
2006-06-19,7.186,7.186,7.186,7.186,0.87%
2006-06-20,7.207,7.207,7.207,7.207,0.29%
2006-06-21,7.207,7.207,7.207,7.207,0.00%
2006-06-22,7.216,7.216,7.216,7.216,0.12%
2006-06-23,7.351,7.351,7.351,7.351,1.87%
2006-06-24,7.351,7.351,7.351,7.351,1.87%
2006-06-25,7.351,7.351,7.351,7.351,1.87%
2006-06-26,7.373,7.373,7.373,7.373,0.30%
2006-06-27,7.333,7.333,7.333,7.333,-0.54%
2006-06-28,7.333,7.333,7.333,7.333,0.00%
2006-06-29,7.355,7.355,7.355,7.355,0.30%
2006-06-30,7.335,7.335,7.335,7.335,-0.27%
2006-07-01,7.335,7.335,7.335,7.335,-0.27%
2006-07-02,7.335,7.335,7.335,7.335,-0.27%
2006-07-03,7.332,7.332,7.332,7.332,-0.04%
2006-07-04,7.358,7.358,7.358,7.358,0.35%
2006-07-05,7.358,7.358,7.358,7.358,0.00%
2006-07-06,7.38,7.38,7.38,7.38,0.30%
2006-07-07,7.38,7.38,7.38,7.38,0.00%
2006-07-08,7.38,7.38,7.38,7.38,0.00%
2006-07-09,7.38,7.38,7.38,7.38,0.00%
2006-07-10,7.403,7.403,7.403,7.403,0.31%
2006-07-11,7.383,7.383,7.383,7.383,-0.27%
2006-07-12,7.417,7.417,7.417,7.417,0.46%
2006-07-13,7.405,7.405,7.405,7.405,-0.16%
2006-07-14,7.406,7.406,7.406,7.406,0.01%
2006-07-15,7.406,7.406,7.406,7.406,0.01%
2006-07-16,7.406,7.406,7.406,7.406,0.01%
2006-07-17,7.421,7.421,7.421,7.421,0.20%
2006-07-18,7.43,7.43,7.43,7.43,0.12%
2006-07-19,7.418,7.418,7.418,7.418,-0.16%
2006-07-20,7.369,7.369,7.369,7.369,-0.66%
2006-07-21,7.306,7.306,7.306,7.306,-0.85%
2006-07-22,7.306,7.306,7.306,7.306,-0.85%
2006-07-23,7.306,7.306,7.306,7.306,-0.85%
2006-07-24,7.308,7.308,7.308,7.308,0.03%
2006-07-25,7.267,7.267,7.267,7.267,-0.56%
2006-07-26,7.28,7.28,7.28,7.28,0.18%
2006-07-27,7.289,7.289,7.289,7.289,0.12%
2006-07-28,7.332,7.332,7.332,7.332,0.59%
2006-07-29,7.332,7.332,7.332,7.332,0.59%
2006-07-30,7.332,7.332,7.332,7.332,0.59%
2006-07-31,7.326,7.326,7.326,7.326,-0.08%
2006-08-01,7.376,7.376,7.376,7.376,0.68%
2006-08-02,7.377,7.377,7.377,7.377,0.01%
2006-08-03,7.399,7.399,7.399,7.399,0.30%
2006-08-04,7.379,7.379,7.379,7.379,-0.27%
2006-08-05,7.379,7.379,7.379,7.379,-0.27%
2006-08-06,7.379,7.379,7.379,7.379,-0.27%
2006-08-07,7.36,7.36,7.36,7.36,-0.26%
2006-08-08,7.382,7.382,7.382,7.382,0.30%
2006-08-09,7.361,7.361,7.361,7.361,-0.28%
2006-08-10,7.319,7.319,7.319,7.319,-0.57%
2006-08-11,7.341,7.341,7.341,7.341,0.30%
2006-08-12,7.341,7.341,7.341,7.341,0.30%
2006-08-13,7.341,7.341,7.341,7.341,0.30%
2006-08-14,7.365,7.365,7.365,7.365,0.33%
2006-08-15,7.365,7.365,7.365,7.365,0.33%
2006-08-16,7.345,7.345,7.345,7.345,-0.27%
2006-08-17,7.303,7.303,7.303,7.303,-0.57%
2006-08-18,7.312,7.312,7.312,7.312,0.12%
2006-08-19,7.312,7.312,7.312,7.312,0.12%
2006-08-20,7.312,7.312,7.312,7.312,0.12%
2006-08-21,7.349,7.349,7.349,7.349,0.51%
2006-08-22,7.328,7.328,7.328,7.328,-0.29%
2006-08-23,7.307,7.307,7.307,7.307,-0.29%
2006-08-24,7.308,7.308,7.308,7.308,0.01%
2006-08-25,7.365,7.365,7.365,7.365,0.78%
2006-08-26,7.365,7.365,7.365,7.365,0.78%
2006-08-27,7.365,7.365,7.365,7.365,0.78%
2006-08-28,7.441,7.441,7.441,7.441,1.03%
2006-08-29,7.376,7.376,7.376,7.376,-0.87%
2006-08-30,7.351,7.351,7.351,7.351,-0.34%
2006-08-31,7.326,7.326,7.326,7.326,-0.34%
2006-09-01,7.334,7.334,7.334,7.334,0.11%
2006-09-02,7.334,7.334,7.334,7.334,0.11%
2006-09-03,7.334,7.334,7.334,7.334,0.11%
2006-09-04,7.293,7.293,7.293,7.293,-0.56%
2006-09-05,7.316,7.316,7.316,7.316,0.32%
2006-09-06,7.295,7.295,7.295,7.295,-0.29%
2006-09-07,7.352,7.352,7.352,7.352,0.78%
2006-09-08,7.318,7.318,7.318,7.318,-0.46%
2006-09-09,7.318,7.318,7.318,7.318,-0.46%
2006-09-10,7.318,7.318,7.318,7.318,-0.46%
2006-09-11,7.307,7.307,7.307,7.307,-0.15%
2006-09-12,7.321,7.321,7.321,7.321,0.19%
2006-09-13,7.3,7.3,7.3,7.3,-0.29%
2006-09-14,7.323,7.323,7.323,7.323,0.32%
2006-09-15,7.341,7.341,7.341,7.341,0.25%
2006-09-16,7.341,7.341,7.341,7.341,0.25%
2006-09-17,7.341,7.341,7.341,7.341,0.25%
2006-09-18,7.339,7.339,7.339,7.339,-0.03%
2006-09-19,7.287,7.287,7.287,7.287,-0.71%
2006-09-20,7.261,7.261,7.261,7.261,-0.36%
2006-09-21,7.284,7.284,7.284,7.284,0.32%
2006-09-22,7.263,7.263,7.263,7.263,-0.29%
2006-09-23,7.263,7.263,7.263,7.263,-0.29%
2006-09-24,7.263,7.263,7.263,7.263,-0.29%
2006-09-25,7.243,7.243,7.243,7.243,-0.28%
2006-09-26,7.199,7.199,7.199,7.199,-0.61%
2006-09-27,7.244,7.244,7.244,7.244,0.63%
2006-09-28,7.249,7.249,7.249,7.249,0.07%
2006-09-29,7.246,7.246,7.246,7.246,-0.04%
2006-09-30,7.246,7.246,7.246,7.246,-0.04%
2006-10-01,7.246,7.246,7.246,7.246,-0.04%
2006-10-02,7.246,7.246,7.246,7.246,-0.04%
2006-10-03,7.19,7.19,7.19,7.19,-0.77%
2006-10-04,7.16,7.16,7.16,7.16,-0.42%
2006-10-05,7.228,7.228,7.228,7.228,0.95%
2006-10-06,7.206,7.206,7.206,7.206,-0.30%
2006-10-07,7.206,7.206,7.206,7.206,-0.30%
2006-10-08,7.206,7.206,7.206,7.206,-0.30%
2006-10-09,7.252,7.252,7.252,7.252,0.64%
2006-10-10,7.239,7.239,7.239,7.239,-0.18%
2006-10-11,7.235,7.235,7.235,7.235,-0.06%
2006-10-12,7.208,7.208,7.208,7.208,-0.37%
2006-10-13,7.254,7.254,7.254,7.254,0.64%
2006-10-14,7.254,7.254,7.254,7.254,0.64%
2006-10-15,7.254,7.254,7.254,7.254,0.64%
2006-10-16,7.278,7.278,7.278,7.278,0.33%
2006-10-17,7.279,7.279,7.279,7.279,0.01%
2006-10-18,7.279,7.279,7.279,7.279,0.00%
2006-10-19,7.252,7.252,7.252,7.252,-0.37%
2006-10-20,7.257,7.257,7.257,7.257,0.07%
2006-10-21,7.257,7.257,7.257,7.257,0.07%
2006-10-22,7.257,7.257,7.257,7.257,0.07%
2006-10-23,7.282,7.282,7.282,7.282,0.34%
2006-10-24,7.282,7.282,7.282,7.282,0.34%
2006-10-25,7.282,7.282,7.282,7.282,0.34%
2006-10-26,7.224,7.224,7.224,7.224,-0.80%
2006-10-27,7.229,7.229,7.229,7.229,0.07%
2006-10-28,7.229,7.229,7.229,7.229,0.07%
2006-10-29,7.229,7.229,7.229,7.229,0.07%
2006-10-30,7.249,7.249,7.249,7.249,0.28%
2006-10-31,7.277,7.277,7.277,7.277,0.39%
2006-11-01,7.277,7.277,7.277,7.277,0.00%
2006-11-02,7.278,7.278,7.278,7.278,0.01%
2006-11-03,7.297,7.297,7.297,7.297,0.26%
2006-11-04,7.297,7.297,7.297,7.297,0.26%
2006-11-05,7.297,7.297,7.297,7.297,0.26%
2006-11-06,7.317,7.317,7.317,7.317,0.27%
2006-11-07,7.313,7.313,7.313,7.313,-0.05%
2006-11-08,7.244,7.244,7.244,7.244,-0.94%
2006-11-09,7.268,7.268,7.268,7.268,0.33%
2006-11-10,7.273,7.273,7.273,7.273,0.07%
2006-11-11,7.273,7.273,7.273,7.273,0.07%
2006-11-12,7.273,7.273,7.273,7.273,0.07%
2006-11-13,7.293,7.293,7.293,7.293,0.27%
2006-11-14,7.247,7.247,7.247,7.247,-0.63%
2006-11-15,7.271,7.271,7.271,7.271,0.33%
2006-11-16,7.272,7.272,7.272,7.272,0.01%
2006-11-17,7.296,7.296,7.296,7.296,0.33%
2006-11-18,7.296,7.296,7.296,7.296,0.33%
2006-11-19,7.296,7.296,7.296,7.296,0.33%
2006-11-20,7.241,7.241,7.241,7.241,-0.75%
2006-11-21,7.228,7.228,7.228,7.228,-0.18%
2006-11-22,7.228,7.228,7.228,7.228,0.00%
2006-11-23,7.182,7.182,7.182,7.182,-0.64%
2006-11-24,7.135,7.135,7.135,7.135,-0.65%
2006-11-25,7.135,7.135,7.135,7.135,-0.65%
2006-11-26,7.135,7.135,7.135,7.135,-0.65%
2006-11-27,7.113,7.113,7.113,7.113,-0.31%
2006-11-28,7.113,7.113,7.113,7.113,0.00%
2006-11-29,7.161,7.161,7.161,7.161,0.67%
2006-11-30,7.162,7.162,7.162,7.162,0.01%
2006-12-01,7.138,7.138,7.138,7.138,-0.34%
2006-12-02,7.138,7.138,7.138,7.138,-0.34%
2006-12-03,7.138,7.138,7.138,7.138,-0.34%
2006-12-04,7.116,7.116,7.116,7.116,-0.31%
2006-12-05,7.117,7.117,7.117,7.117,0.01%
2006-12-06,7.117,7.117,7.117,7.117,0.00%
2006-12-07,7.117,7.117,7.117,7.117,0.00%
2006-12-08,7.094,7.094,7.094,7.094,-0.32%
2006-12-09,7.094,7.094,7.094,7.094,-0.32%
2006-12-10,7.094,7.094,7.094,7.094,-0.32%
2006-12-11,7.191,7.191,7.191,7.191,1.37%
2006-12-12,7.36,7.36,7.36,7.36,2.35%
2006-12-13,7.385,7.385,7.385,7.385,0.34%
2006-12-14,7.41,7.41,7.41,7.41,0.34%
2006-12-15,7.362,7.362,7.362,7.362,-0.65%
2006-12-16,7.362,7.362,7.362,7.362,-0.65%
2006-12-17,7.362,7.362,7.362,7.362,-0.65%
2006-12-18,7.389,7.389,7.389,7.389,0.37%
2006-12-19,7.341,7.341,7.341,7.341,-0.65%
2006-12-20,7.366,7.366,7.366,7.366,0.34%
2006-12-21,7.406,7.406,7.406,7.406,0.54%
2006-12-22,7.417,7.417,7.417,7.417,0.15%
2006-12-23,7.417,7.417,7.417,7.417,0.15%
2006-12-24,7.417,7.417,7.417,7.417,0.15%
2006-12-25,7.417,7.417,7.417,7.417,0.15%
2006-12-26,7.444,7.444,7.444,7.444,0.36%
2006-12-27,7.445,7.445,7.445,7.445,0.01%
2006-12-28,7.446,7.446,7.446,7.446,0.01%
2006-12-29,7.423,7.423,7.423,7.423,-0.31%
2006-12-30,7.423,7.423,7.423,7.423,-0.31%
2006-12-31,7.423,7.423,7.423,7.423,-0.31%
2007-01-01,7.423,7.423,7.423,7.423,-0.31%
2007-01-02,7.327,7.327,7.327,7.327,-1.29%
2007-01-03,7.327,7.327,7.327,7.327,0.00%
2007-01-04,7.378,7.378,7.378,7.378,0.70%
2007-01-05,7.477,7.477,7.477,7.477,1.34%
2007-01-06,7.477,7.477,7.477,7.477,1.34%
2007-01-07,7.477,7.477,7.477,7.477,1.34%
2007-01-08,7.431,7.431,7.431,7.431,-0.62%
2007-01-09,7.407,7.407,7.407,7.407,-0.32%
2007-01-10,7.383,7.383,7.383,7.383,-0.32%
2007-01-11,7.383,7.383,7.383,7.383,0.00%
2007-01-12,7.559,7.559,7.559,7.559,2.38%
2007-01-13,7.559,7.559,7.559,7.559,2.38%
2007-01-14,7.559,7.559,7.559,7.559,2.38%
2007-01-15,7.588,7.588,7.588,7.588,0.38%
2007-01-16,7.648,7.648,7.648,7.648,0.79%
2007-01-17,7.666,7.666,7.666,7.666,0.24%
2007-01-18,7.648,7.648,7.648,7.648,-0.23%
2007-01-19,7.648,7.648,7.648,7.648,0.00%
2007-01-20,7.648,7.648,7.648,7.648,0.00%
2007-01-21,7.648,7.648,7.648,7.648,0.00%
2007-01-22,7.736,7.736,7.736,7.736,1.15%
2007-01-23,7.683,7.683,7.683,7.683,-0.69%
2007-01-24,7.718,7.718,7.718,7.718,0.46%
2007-01-25,7.718,7.718,7.718,7.718,0.00%
2007-01-26,7.718,7.718,7.718,7.718,0.00%
2007-01-27,7.718,7.718,7.718,7.718,0.00%
2007-01-28,7.718,7.718,7.718,7.718,0.00%
2007-01-29,7.719,7.719,7.719,7.719,0.01%
2007-01-30,7.719,7.719,7.719,7.719,0.01%
2007-01-31,7.659,7.659,7.659,7.659,-0.78%
2007-02-01,7.659,7.659,7.659,7.659,-0.78%
2007-02-02,7.635,7.635,7.635,7.635,-0.31%
2007-02-03,7.635,7.635,7.635,7.635,-0.31%
2007-02-04,7.635,7.635,7.635,7.635,-0.31%
2007-02-05,7.561,7.561,7.561,7.561,-0.97%
2007-02-06,7.667,7.667,7.667,7.667,1.40%
2007-02-07,7.632,7.632,7.632,7.632,-0.46%
2007-02-08,7.702,7.702,7.702,7.702,0.92%
2007-02-09,7.72,7.72,7.72,7.72,0.23%
2007-02-10,7.72,7.72,7.72,7.72,0.23%
2007-02-11,7.72,7.72,7.72,7.72,0.23%
2007-02-12,7.703,7.703,7.703,7.703,-0.22%
2007-02-13,7.738,7.738,7.738,7.738,0.45%
2007-02-14,7.845,7.845,7.845,7.845,1.38%
2007-02-15,7.845,7.845,7.845,7.845,0.00%
2007-02-16,7.845,7.845,7.845,7.845,0.00%
2007-02-17,7.845,7.845,7.845,7.845,0.00%
2007-02-18,7.845,7.845,7.845,7.845,0.00%
2007-02-19,7.81,7.81,7.81,7.81,-0.45%
2007-02-20,7.811,7.811,7.811,7.811,0.01%
2007-02-21,7.768,7.768,7.768,7.768,-0.55%
2007-02-22,7.793,7.793,7.793,7.793,0.32%
2007-02-23,7.793,7.793,7.793,7.793,0.00%
2007-02-24,7.793,7.793,7.793,7.793,0.00%
2007-02-25,7.793,7.793,7.793,7.793,0.00%
2007-02-26,7.776,7.776,7.776,7.776,-0.22%
2007-02-27,7.834,7.834,7.834,7.834,0.75%
2007-02-28,7.882,7.882,7.882,7.882,0.61%
2007-03-01,7.849,7.849,7.849,7.849,-0.42%
2007-03-02,7.867,7.867,7.867,7.867,0.23%
2007-03-03,7.867,7.867,7.867,7.867,0.23%
2007-03-04,7.867,7.867,7.867,7.867,0.23%
2007-03-05,7.85,7.85,7.85,7.85,-0.22%
2007-03-06,7.905,7.905,7.905,7.905,0.70%
2007-03-07,7.905,7.905,7.905,7.905,0.00%
2007-03-08,7.88,7.88,7.88,7.88,-0.32%
2007-03-09,7.887,7.887,7.887,7.887,0.09%
2007-03-10,7.887,7.887,7.887,7.887,0.09%
2007-03-11,7.887,7.887,7.887,7.887,0.09%
2007-03-12,7.826,7.826,7.826,7.826,-0.77%
2007-03-13,7.87,7.87,7.87,7.87,0.56%
2007-03-14,7.889,7.889,7.889,7.889,0.24%
2007-03-15,7.999,7.999,7.999,7.999,1.39%
2007-03-16,7.981,7.981,7.981,7.981,-0.23%
2007-03-17,7.981,7.981,7.981,7.981,-0.23%
2007-03-18,7.981,7.981,7.981,7.981,-0.23%
2007-03-19,7.981,7.981,7.981,7.981,-0.23%
2007-03-20,8.056,8.056,8.056,8.056,0.94%
2007-03-21,8.112,8.112,8.112,8.112,0.70%
2007-03-22,7.947,7.947,7.947,7.947,-2.03%
2007-03-23,7.929,7.929,7.929,7.929,-0.23%
2007-03-24,7.929,7.929,7.929,7.929,-0.23%
2007-03-25,7.929,7.929,7.929,7.929,-0.23%
2007-03-26,8.033,8.033,8.033,8.033,1.31%
2007-03-27,8.033,8.033,8.033,8.033,1.31%
2007-03-28,7.986,7.986,7.986,7.986,-0.59%
2007-03-29,7.986,7.986,7.986,7.986,0.00%
2007-03-30,7.987,7.987,7.987,7.987,0.01%
2007-03-31,7.987,7.987,7.987,7.987,0.01%
2007-04-01,7.987,7.987,7.987,7.987,0.01%
2007-04-02,7.987,7.987,7.987,7.987,0.01%
2007-04-03,8.156,8.156,8.156,8.156,2.12%
2007-04-04,8.175,8.175,8.175,8.175,0.23%
2007-04-05,8.153,8.153,8.153,8.153,-0.27%
2007-04-06,8.153,8.153,8.153,8.153,-0.27%
2007-04-07,8.153,8.153,8.153,8.153,-0.27%
2007-04-08,8.153,8.153,8.153,8.153,-0.27%
2007-04-09,8.05,8.05,8.05,8.05,-1.26%
2007-04-10,8.025,8.025,8.025,8.025,-0.31%
2007-04-11,8.052,8.052,8.052,8.052,0.34%
2007-04-12,8.067,8.067,8.067,8.067,0.19%
2007-04-13,8.124,8.124,8.124,8.124,0.71%
2007-04-14,8.124,8.124,8.124,8.124,0.71%
2007-04-15,8.124,8.124,8.124,8.124,0.71%
2007-04-16,8.118,8.118,8.118,8.118,-0.07%
2007-04-17,8.164,8.164,8.164,8.164,0.57%
2007-04-18,8.127,8.127,8.127,8.127,-0.45%
2007-04-19,8.108,8.108,8.108,8.108,-0.23%
2007-04-20,8.086,8.086,8.086,8.086,-0.27%
2007-04-21,8.086,8.086,8.086,8.086,-0.27%
2007-04-22,8.086,8.086,8.086,8.086,-0.27%
2007-04-23,8.099,8.099,8.099,8.099,0.16%
2007-04-24,8.005,8.005,8.005,8.005,-1.16%
2007-04-25,8.009,8.009,8.009,8.009,0.05%
2007-04-26,8.067,8.067,8.067,8.067,0.72%
2007-04-27,8.132,8.132,8.132,8.132,0.81%
2007-04-28,8.132,8.132,8.132,8.132,0.81%
2007-04-29,8.132,8.132,8.132,8.132,0.81%
2007-04-30,8.134,8.134,8.134,8.134,0.02%
2007-05-01,8.134,8.134,8.134,8.134,0.02%
2007-05-02,8.134,8.134,8.134,8.134,0.02%
2007-05-03,8.101,8.101,8.101,8.101,-0.41%
2007-05-04,8.087,8.087,8.087,8.087,-0.17%
2007-05-05,8.087,8.087,8.087,8.087,-0.17%
2007-05-06,8.087,8.087,8.087,8.087,-0.17%
2007-05-07,8.088,8.088,8.088,8.088,0.01%
2007-05-08,8.074,8.074,8.074,8.074,-0.17%
2007-05-09,8.009,8.009,8.009,8.009,-0.81%
2007-05-10,8.044,8.044,8.044,8.044,0.44%
2007-05-11,8.102,8.102,8.102,8.102,0.72%
2007-05-12,8.102,8.102,8.102,8.102,0.72%
2007-05-13,8.102,8.102,8.102,8.102,0.72%
2007-05-14,8.104,8.104,8.104,8.104,0.02%
2007-05-15,8.085,8.085,8.085,8.085,-0.23%
2007-05-16,8.047,8.047,8.047,8.047,-0.47%
2007-05-17,8.066,8.066,8.066,8.066,0.24%
2007-05-18,8.055,8.055,8.055,8.055,-0.14%
2007-05-19,8.055,8.055,8.055,8.055,-0.14%
2007-05-20,8.055,8.055,8.055,8.055,-0.14%
2007-05-21,8.009,8.009,8.009,8.009,-0.57%
2007-05-22,8.014,8.014,8.014,8.014,0.06%
2007-05-23,8.041,8.041,8.041,8.041,0.34%
2007-05-24,8.049,8.049,8.049,8.049,0.10%
2007-05-25,8.057,8.057,8.057,8.057,0.10%
2007-05-26,8.057,8.057,8.057,8.057,0.10%
2007-05-27,8.057,8.057,8.057,8.057,0.10%
2007-05-28,7.972,7.972,7.972,7.972,-1.05%
2007-05-29,7.973,7.973,7.973,7.973,0.01%
2007-05-30,7.942,7.942,7.942,7.942,-0.39%
2007-05-31,7.848,7.848,7.848,7.848,-1.18%
2007-06-01,7.814,7.814,7.814,7.814,-0.43%
2007-06-02,7.814,7.814,7.814,7.814,-0.43%
2007-06-03,7.814,7.814,7.814,7.814,-0.43%
2007-06-04,7.775,7.775,7.775,7.775,-0.50%
2007-06-05,7.838,7.838,7.838,7.838,0.81%
2007-06-06,7.838,7.838,7.838,7.838,0.00%
2007-06-07,7.896,7.896,7.896,7.896,0.74%
2007-06-08,7.955,7.955,7.955,7.955,0.75%
2007-06-09,7.955,7.955,7.955,7.955,0.75%
