Date,Y10,Y1,Y3,Y5,Repo
2006-04-03,7.557,6.531,6.874,7.275,6.5
2006-04-04,7.549,6.563,6.856,7.283,6.5
2006-04-05,7.538,6.349,6.762,7.205,6.5
2006-04-06,7.538,6.349,6.762,7.205,6.5
2006-04-07,7.546,6.334,6.77,7.181,6.5
2006-04-10,7.544,6.359,6.717,7.159,6.5
2006-04-11,7.544,6.359,6.717,7.159,6.5
2006-04-12,7.575,6.289,6.687,7.155,6.5
2006-04-13,7.611,6.366,6.736,7.154,6.5
2006-04-14,7.611,6.366,6.736,7.154,6.5
2006-04-17,7.632,6.379,6.781,7.198,6.5
2006-04-18,7.537,6.285,6.667,7.083,6.5
2006-04-19,7.318,6.2,6.63,6.935,6.5
2006-04-20,7.358,6.16,6.648,6.993,6.5
2006-04-21,7.338,6.174,6.66,6.971,6.5
2006-04-24,7.357,6.226,6.667,6.981,6.5
2006-04-25,7.35,6.232,6.659,6.969,6.5
2006-04-26,7.405,6.274,6.705,7.012,6.5
2006-04-27,7.42,6.28,6.705,7.015,6.5
2006-04-28,7.39,6.313,6.724,6.979,6.5
2006-05-01,7.39,6.313,6.724,6.979,6.5
2006-05-02,7.472,6.354,6.743,7.032,6.5
2006-05-03,7.507,6.389,6.781,7.053,6.5
2006-05-04,7.535,6.423,6.77,7.048,6.5
2006-05-05,7.537,6.363,6.743,7.054,6.5
2006-05-08,7.522,6.371,6.793,7.049,6.5
2006-05-09,7.49,6.386,6.743,7.028,6.5
2006-05-10,7.5,6.345,6.743,7.033,6.5
2006-05-11,7.532,6.36,6.762,7.068,6.5
2006-05-12,7.545,6.443,6.801,7.094,6.5
2006-05-15,7.591,6.521,6.782,7.16,6.5
2006-05-16,7.571,6.478,6.782,7.141,6.5
2006-05-17,7.584,6.465,6.79,7.172,6.5
2006-05-18,7.626,6.481,6.809,7.202,6.5
2006-05-19,7.612,6.517,6.821,7.188,6.5
2006-05-22,7.597,6.478,6.841,7.178,6.5
2006-05-23,7.594,6.514,6.821,7.182,6.5
2006-05-24,7.607,6.471,6.821,7.195,6.5
2006-05-25,7.607,6.468,6.833,7.194,6.5
2006-05-26,7.611,6.484,6.825,7.193,6.5
2006-05-29,7.644,6.503,6.849,7.226,6.5
2006-05-30,7.655,6.499,6.853,7.232,6.5
2006-05-31,7.659,6.465,6.854,7.242,6.5
2006-06-01,7.676,6.505,6.901,7.281,6.5
2006-06-02,7.671,6.49,6.889,7.307,6.5
2006-06-05,7.652,6.569,6.921,7.307,6.5
2006-06-06,7.64,6.586,6.922,7.309,6.5
2006-06-07,7.668,6.571,6.902,7.34,6.5
2006-06-08,7.673,6.525,6.882,7.325,6.75
2006-06-09,7.791,6.698,6.982,7.43,6.75
2006-06-12,7.803,6.675,6.983,7.436,6.75
2006-06-13,7.812,6.861,7.055,7.44,6.75
2006-06-14,7.794,6.889,7.023,7.417,6.75
2006-06-15,7.8,6.886,7.104,7.425,6.75
2006-06-16,7.803,6.936,7.124,7.44,6.75
2006-06-19,7.907,7.001,7.186,7.535,6.75
2006-06-20,7.913,7.052,7.207,7.539,6.75
2006-06-21,7.913,7.038,7.207,7.538,6.75
2006-06-22,7.993,7.046,7.216,7.603,6.75
2006-06-23,8.089,7.141,7.351,7.683,6.75
2006-06-26,8.123,7.11,7.373,7.689,6.75
2006-06-27,8.135,7.096,7.333,7.679,6.75
2006-06-28,8.12,7.049,7.333,7.683,6.75
2006-06-29,8.128,7.057,7.355,7.691,6.75
2006-06-30,8.151,7.043,7.335,7.691,6.75
2006-07-03,8.151,7.022,7.332,7.689,6.75
2006-07-04,8.159,7.041,7.358,7.711,6.75
2006-07-05,8.159,7.027,7.358,7.699,6.75
2006-07-06,8.182,7.046,7.38,7.731,6.75
2006-07-07,8.213,7.043,7.38,7.746,6.75
2006-07-10,8.292,7.034,7.403,7.822,6.75
2006-07-11,8.292,7.007,7.383,7.812,6.75
2006-07-12,8.376,7.039,7.417,7.894,6.75
2006-07-13,8.355,7.024,7.405,7.874,6.75
2006-07-14,8.344,7.032,7.406,7.864,6.75
2006-07-17,8.371,7.022,7.421,7.89,6.75
2006-07-18,8.373,7.007,7.43,7.887,6.75
2006-07-19,8.34,7.051,7.418,7.865,6.75
2006-07-20,8.302,7.013,7.369,7.826,6.75
2006-07-21,8.242,6.997,7.306,7.763,6.75
2006-07-24,8.219,6.939,7.308,7.754,6.75
2006-07-25,8.226,6.9,7.267,7.789,7.0
2006-07-26,8.239,6.932,7.28,7.805,7.0
2006-07-27,8.221,6.928,7.289,7.806,7.0
2006-07-28,8.25,6.985,7.332,7.839,7.0
