Series,Test,Statistic,p-value,Lags,CV 1%,CV 5%,Conclusion
Y10,ADF,-3.0978,> 0.10,7,-3.96,-3.41,Unit root
Y10,PP,-2.9701,> 0.10,4,-3.96,-3.41,Unit root
D.Y10,ADF,-6.0022,< 0.01,7,-3.96,-3.41,Stationary
D.Y10,PP,-15.1402,< 0.01,4,-3.96,-3.41,Stationary
Y1,ADF,-2.4108,> 0.10,1,-3.96,-3.41,Unit root
Y1,PP,-1.7308,> 0.10,4,-3.96,-3.41,Unit root
D.Y1,ADF,-12.5281,< 0.01,0,-3.96,-3.41,Stationary
D.Y1,PP,-12.4601,< 0.01,4,-3.96,-3.41,Stationary
Y3,ADF,-2.5431,> 0.10,3,-3.96,-3.41,Unit root
Y3,PP,-2.072,> 0.10,4,-3.96,-3.41,Unit root
D.Y3,ADF,-9.0897,< 0.01,2,-3.96,-3.41,Stationary
D.Y3,PP,-12.795,< 0.01,4,-3.96,-3.41,Stationary
Y5,ADF,-2.7487,> 0.10,7,-3.96,-3.41,Unit root
Y5,PP,-2.6585,> 0.10,4,-3.96,-3.41,Unit root
D.Y5,ADF,-7.5185,< 0.01,5,-3.96,-3.41,Stationary
D.Y5,PP,-14.45,< 0.01,4,-3.96,-3.41,Stationary
Repo,ADF,-2.6525,> 0.10,4,-3.96,-3.41,Unit root
Repo,PP,-0.8949,> 0.10,4,-3.96,-3.41,Unit root
D.Repo,ADF,-5.79,< 0.01,4,-3.96,-3.41,Stationary
D.Repo,PP,-9.1921,< 0.01,4,-3.96,-3.41,Stationary
