Period,Maturity,T (months),Peak IRF,h=1 IRF,Cum IRF
Pre-IT (2006–2013),Y1,89,0.24937,0.08748,0.40594
Pre-IT (2006–2013),Y3,89,0.18209,0.04994,0.27123
Pre-IT (2006–2013),Y5,89,0.14131,0.05746,0.2307
Pre-IT (2006–2013),Y10,89,0.14946,0.0384,0.20715
IT Framework (2013–2020),Y1,78,0.06615,0.06615,0.09416
IT Framework (2013–2020),Y3,78,0.04949,0.03376,0.07254
IT Framework (2013–2020),Y5,78,0.04159,0.02387,0.05942
IT Framework (2013–2020),Y10,78,0.03945,0.03945,0.05824
COVID+Tightening (2020–2025),Y1,60,0.09526,0.03872,0.13946
COVID+Tightening (2020–2025),Y3,60,0.07948,0.0103,0.0932
COVID+Tightening (2020–2025),Y5,60,0.04634,0.00981,0.05583
COVID+Tightening (2020–2025),Y10,60,0.01904,0.01258,0.03206
