Series,N,Mean,Std Dev,Min,Max,Skewness,Ex.Kurt,JB stat,JB p-val
Y10,228,7.4424,0.788,5.26,9.316,-0.1903,-0.5554,6.2657,0.0436
Y1,228,6.6997,1.4515,3.33,10.23,-0.5308,-0.3257,11.1624,0.0038
Y3,228,7.0652,1.078,4.401,9.341,-0.5869,0.0061,12.2079,0.0022
Y5,228,7.3098,0.9299,4.988,9.367,-0.4087,-0.1905,6.4798,0.0392
Repo,228,6.4316,1.3077,4.0,9.0,-0.3535,-0.698,14.7698,0.0006
D.Y10,227,-0.0036,0.2668,-1.82,0.927,-1.3888,10.6594,100.8584,0.0
D.Y1,227,0.0003,0.3595,-2.359,1.62,-0.7543,11.5036,74.9332,0.0
D.Y3,227,-0.0013,0.2894,-1.575,1.303,-0.221,7.6579,46.2316,0.0
D.Y5,227,-0.0023,0.2839,-1.759,1.241,-0.596,7.9591,57.8486,0.0
D.Repo,227,-0.0011,0.2064,-1.0,0.75,-1.2686,8.0877,87.2308,0.0
