horizon,response,shock,fevd
0,Repo,Repo,1.0
0,Repo,Y1,0.0
0,Repo,Y3,0.0
0,Repo,Y5,0.0
0,Repo,Y10,0.0
0,Y1,Repo,0.173204
0,Y1,Y1,0.826796
0,Y1,Y3,0.0
0,Y1,Y5,0.0
0,Y1,Y10,0.0
0,Y3,Repo,0.146334
0,Y3,Y1,0.49284
0,Y3,Y3,0.360825
0,Y3,Y5,0.0
0,Y3,Y10,0.0
0,Y5,Repo,0.092004
0,Y5,Y1,0.472295
0,Y5,Y3,0.251321
0,Y5,Y5,0.184381
0,Y5,Y10,0.0
0,Y10,Repo,0.102279
0,Y10,Y1,0.308541
0,Y10,Y3,0.170023
0,Y10,Y5,0.174887
0,Y10,Y10,0.244269
1,Repo,Repo,0.875316
1,Repo,Y1,0.104488
1,Repo,Y3,0.018141
1,Repo,Y5,0.001781
1,Repo,Y10,0.000273
1,Y1,Repo,0.198729
1,Y1,Y1,0.732376
1,Y1,Y3,0.046107
1,Y1,Y5,0.001928
1,Y1,Y10,0.02086
1,Y3,Repo,0.160234
1,Y3,Y1,0.463128
1,Y3,Y3,0.361119
1,Y3,Y5,0.001818
1,Y3,Y10,0.013702
1,Y5,Repo,0.104945
1,Y5,Y1,0.429332
1,Y5,Y3,0.256219
1,Y5,Y5,0.202673
1,Y5,Y10,0.006832
1,Y10,Repo,0.105473
1,Y10,Y1,0.286419
1,Y10,Y3,0.173228
1,Y10,Y5,0.193557
1,Y10,Y10,0.241323
2,Repo,Repo,0.861686
2,Repo,Y1,0.106122
2,Repo,Y3,0.026742
2,Repo,Y5,0.001825
2,Repo,Y10,0.003625
2,Y1,Repo,0.202845
2,Y1,Y1,0.727497
2,Y1,Y3,0.047108
2,Y1,Y5,0.001909
2,Y1,Y10,0.020641
2,Y3,Repo,0.162311
2,Y3,Y1,0.462427
2,Y3,Y3,0.359759
2,Y3,Y5,0.00184
2,Y3,Y10,0.013663
2,Y5,Repo,0.105812
2,Y5,Y1,0.427917
2,Y5,Y3,0.254573
2,Y5,Y5,0.204873
2,Y5,Y10,0.006825
2,Y10,Repo,0.106014
2,Y10,Y1,0.285605
2,Y10,Y3,0.172403
2,Y10,Y5,0.195861
2,Y10,Y10,0.240118
3,Repo,Repo,0.860278
3,Repo,Y1,0.106666
3,Repo,Y3,0.027534
3,Repo,Y5,0.001851
3,Repo,Y10,0.00367
3,Y1,Repo,0.203384
3,Y1,Y1,0.726565
3,Y1,Y3,0.04741
3,Y1,Y5,0.00194
3,Y1,Y10,0.020701
3,Y3,Repo,0.1626
3,Y3,Y1,0.462184
3,Y3,Y3,0.359631
3,Y3,Y5,0.001874
3,Y3,Y10,0.013711
3,Y5,Repo,0.106074
3,Y5,Y1,0.427419
3,Y5,Y3,0.254495
3,Y5,Y5,0.205193
3,Y5,Y10,0.006818
3,Y10,Repo,0.106167
3,Y10,Y1,0.285384
3,Y10,Y3,0.172396
3,Y10,Y5,0.196195
3,Y10,Y10,0.239859
4,Repo,Repo,0.860036
4,Repo,Y1,0.106754
4,Repo,Y3,0.027659
4,Repo,Y5,0.001852
4,Repo,Y10,0.003699
4,Y1,Repo,0.203472
4,Y1,Y1,0.726431
4,Y1,Y3,0.047452
4,Y1,Y5,0.00194
4,Y1,Y10,0.020705
4,Y3,Repo,0.162647
4,Y3,Y1,0.462154
4,Y3,Y3,0.359612
4,Y3,Y5,0.001874
4,Y3,Y10,0.013714
4,Y5,Repo,0.106096
4,Y5,Y1,0.427383
4,Y5,Y3,0.254467
4,Y5,Y5,0.205223
4,Y5,Y10,0.006831
4,Y10,Repo,0.106178
4,Y10,Y1,0.285368
4,Y10,Y3,0.172381
4,Y10,Y5,0.196229
4,Y10,Y10,0.239845
5,Repo,Repo,0.86
5,Repo,Y1,0.106765
5,Repo,Y3,0.027679
5,Repo,Y5,0.001853
5,Repo,Y10,0.003702
5,Y1,Repo,0.203485
5,Y1,Y1,0.72641
5,Y1,Y3,0.047459
5,Y1,Y5,0.00194
5,Y1,Y10,0.020706
5,Y3,Repo,0.162654
5,Y3,Y1,0.462149
5,Y3,Y3,0.359609
5,Y3,Y5,0.001874
5,Y3,Y10,0.013714
5,Y5,Repo,0.106103
5,Y5,Y1,0.427373
5,Y5,Y3,0.254465
5,Y5,Y5,0.205228
5,Y5,Y10,0.006831
5,Y10,Repo,0.106182
5,Y10,Y1,0.285363
5,Y10,Y3,0.172381
5,Y10,Y5,0.196234
5,Y10,Y10,0.23984
