horizon,response,shock,irf
0,Repo,Repo,0.180511
0,Repo,Y1,0.0
0,Repo,Y3,0.0
0,Repo,Y5,0.0
0,Repo,Y10,0.0
0,Y1,Repo,0.141314
0,Y1,Y1,0.30875
0,Y1,Y3,0.0
0,Y1,Y5,0.0
0,Y1,Y10,0.0
0,Y3,Repo,0.108338
0,Y3,Y1,0.19882
0,Y3,Y3,0.17012
0,Y3,Y5,0.0
0,Y3,Y10,0.0
0,Y5,Repo,0.0827
0,Y5,Y1,0.187373
0,Y5,Y3,0.136683
0,Y5,Y5,0.117073
0,Y5,Y10,0.0
0,Y10,Repo,0.082805
0,Y10,Y1,0.14382
0,Y10,Y3,0.106762
0,Y10,Y5,0.108278
0,Y10,Y10,0.127967
1,Repo,Repo,0.064751
1,Repo,Y1,0.066258
1,Repo,Y3,0.027608
1,Repo,Y5,-0.008651
1,Repo,Y10,-0.003389
1,Y1,Repo,0.077855
1,Y1,Y1,0.024612
1,Y1,Y3,0.077714
1,Y1,Y5,-0.015893
1,Y1,Y10,-0.052273
1,Y3,Repo,0.04413
1,Y3,Y1,0.004832
1,Y3,Y3,0.043589
1,Y3,Y5,-0.012459
1,Y3,Y10,-0.034208
1,Y5,Repo,0.041745
1,Y5,Y1,0.00022
1,Y5,Y3,0.047646
1,Y5,Y5,-0.053548
1,Y5,Y10,-0.023636
1,Y10,Repo,0.027732
1,Y10,Y1,0.004907
1,Y10,Y3,0.033561
1,Y10,Y5,-0.047645
1,Y10,Y10,-0.032746
2,Repo,Repo,0.026989
2,Repo,Y1,0.015129
2,Repo,Y3,0.020044
2,Repo,Y5,-0.002145
2,Repo,Y10,-0.012095
2,Y1,Repo,0.02866
2,Y1,Y1,0.019323
2,Y1,Y3,0.014025
2,Y1,Y5,0.000263
2,Y1,Y10,-0.000289
2,Y3,Repo,0.015744
2,Y3,Y1,0.011873
2,Y3,Y3,0.00633
2,Y3,Y5,0.001646
2,Y3,Y10,0.001616
2,Y5,Repo,0.011302
2,Y5,Y1,0.010676
2,Y5,Y3,0.001416
2,Y5,Y5,0.017026
2,Y5,Y10,-0.001767
2,Y10,Repo,0.008825
2,Y10,Y1,0.006735
2,Y10,Y3,0.001806
2,Y10,Y5,0.015428
2,Y10,Y10,-0.000719
3,Repo,Repo,0.010603
3,Repo,Y1,0.006727
3,Repo,Y3,0.00633
3,Repo,Y5,-0.001227
3,Repo,Y10,-0.001647
3,Y1,Repo,0.011012
3,Y1,Y1,0.007387
3,Y1,Y3,0.007178
3,Y1,Y5,-0.002158
3,Y1,Y10,-0.003608
3,Y3,Repo,0.006162
3,Y3,Y1,0.004061
3,Y3,Y3,0.004252
3,Y3,Y5,-0.001746
3,Y3,Y10,-0.002293
3,Y5,Repo,0.005845
3,Y5,Y1,0.003146
3,Y5,Y3,0.004894
3,Y5,Y5,-0.007128
3,Y5,Y10,-0.000522
3,Y10,Repo,0.004409
3,Y10,Y1,0.002522
3,Y10,Y3,0.003607
3,Y10,Y5,-0.0063
3,Y10,Y10,-8.2e-05
4,Repo,Repo,0.004038
4,Repo,Y1,0.002676
4,Repo,Y3,0.002511
4,Repo,Y5,-0.000324
4,Repo,Y10,-0.001175
4,Y1,Repo,0.004322
4,Y1,Y1,0.002712
4,Y1,Y3,0.002692
4,Y1,Y5,-4.6e-05
